left_x,left_y,right_x,right_y,horizontalRatio,verticalRatio,Centre,Left,Right,Up,Down

550,361,686,353,0.5758620689655172,0.6921052631578948,1,0,0,0,0
547,362,685,353,0.5659905529313698,0.7,1,0,0,0,0
546,363,683,353,0.5829397054737426,0.6583333333333333,1,0,0,0,0
544,361,681,351,0.5593220338983051,0.65,1,0,0,0,0
543,362,680,351,0.5552308591466979,0.6833333333333333,1,0,0,0,0
542,362,679,351,0.538135593220339,0.6345238095238095,1,0,0,0,0
542,362,679,352,0.538135593220339,0.6516290726817042,1,0,0,0,0
542,366,680,358,0.5586206896551724,0.6842105263157895,1,0,0,0,0
543,367,680,361,0.5695812807881773,0.75,1,0,0,0,0
548,369,689,362,0.5993647912885662,0.7352941176470589,1,0,0,0,0
551,371,682,364,0.5217785843920145,0.763157894736842,1,0,0,0,0
551,370,687,363,0.5508474576271187,0.7105263157894737,1,0,0,0,0
550,364,686,357,0.5603448275862069,0.7,1,0,0,0,0
551,351,686,343,0.5761363636363637,0.725,1,0,0,0,0
552,348,684,338,0.549025974025974,0.725,1,0,0,0,0
550,349,681,341,0.5661027568922306,0.7071428571428571,1,0,0,0,0
549,349,681,341,0.5701754385964912,0.6742424242424242,1,0,0,0,0
550,351,681,344,0.574874686716792,0.72953216374269,1,0,0,0,0
551,354,682,345,0.5762987012987013,0.7368421052631579,1,0,0,0,0
550,356,681,347,0.5714285714285714,0.7,1,0,0,0,0
552,358,682,349,0.55311004784689,0.725,1,0,0,0,0
552,359,682,350,0.574874686716792,0.75,1,0,0,0,0
550,358,680,349,0.5618819776714513,0.7184210526315788,1,0,0,0,0
549,358,680,350,0.558116883116883,0.7105263157894737,1,0,0,0,0
549,359,681,350,0.5545454545454545,0.72953216374269,1,0,0,0,0
553,355,683,349,0.5628306878306878,0.7573529411764706,1,0,0,0,0
564,346,696,356,0.5803571428571429,0.7184210526315788,1,0,0,0,0
575,339,703,364,0.6044474393530997,0.6818181818181818,1,0,0,0,0
582,336,709,373,0.6102915951972556,0.6739130434782609,1,0,0,0,0
579,336,709,373,0.6348707197763801,0.6956521739130435,1,0,0,0,0
575,338,705,371,0.6223045822102427,0.7028985507246377,1,0,0,0,0
564,342,696,364,0.5806878306878307,0.698051948051948,1,0,0,0,0
543,352,675,352,0.5670454545454545,0.7647058823529411,1,0,0,0,0
530,365,663,346,0.5393170426065163,0.7105263157894737,1,0,0,0,0
535,363,665,351,0.5582792207792208,0.7222222222222222,1,0,0,0,0
538,363,669,356,0.5539021164021164,0.7279411764705883,1,0,0,0,0
541,367,672,358,0.5659461152882206,0.7105263157894737,1,0,0,0,0
541,368,671,361,0.5582792207792208,0.7352941176470589,1,0,0,0,0
540,368,672,362,0.5636363636363636,0.7222222222222222,1,0,0,0,0
554,357,691,360,0.5621693121693122,0.7261029411764706,1,0,0,0,0
596,355,728,361,0.5818181818181818,0.7352941176470589,1,0,0,0,0
635,352,771,367,0.6170634920634921,0.7573099415204678,1,0,0,0,0
674,344,788,375,0.6769195189639223,0.7941176470588235,1,0,0,0,0
665,343,790,378,0.66,0.75,1,0,0,0,0
641,344,771,371,0.6088534107402032,0.743421052631579,1,0,0,0,0
610,348,738,359,0.5480769230769231,0.7418300653594772,1,0,0,0,0
574,361,702,354,0.5555555555555556,0.7647058823529411,1,0,0,0,0
542,368,665,350,0.54,0.7434640522875817,1,0,0,0,0
508,377,634,349,0.5517053701015965,0.6897233201581028,1,0,0,0,0
484,383,611,354,0.5693570929419987,0.7045454545454546,1,0,0,0,0
481,379,610,352,0.5506638714185884,0.6818181818181819,1,0,0,0,0
473,380,596,349,0.5665926748057714,0.6818181818181818,1,0,0,0,0
466,381,587,349,0.5676923076923077,0.6992481203007519,1,0,0,0,0
473,376,594,355,0.5704166666666667,0.7222222222222222,1,0,0,0,0
